origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_type_original,lane_type_corrected,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,avg_speed_mph_corrected
"Los Angeles, CA","Miami, FL",67.8,17.3,3.08,7.05,High,5,Storm,Fall,5,8,5,Tanker,0,slow,normal,2,2686,70,5882.34,1173.458156,7055.798156,67.8
"Phoenix, AZ","Denver, CO",51.9,14.7,4.51,4.29,Low,9.2,Snow,Fall,2,8,7.6,Dry Van,0,normal,slow,1,673,60,1228.23,707.5128205,1935.742821,51.9
"New York, NY","Phoenix, AZ",71.2,29.5,3.99,7.75,Medium,4,Fog,Summer,5,8,1.2,Dry Van,0,fast,fast,3,2461,80,6740.68,1267.018065,8007.698065,71.2
"Los Angeles, CA","Denver, CO",47.4,18.9,4.57,5.26,Medium,4.5,Clear,Spring,3,8,8.6,Flatbed,1,fast,slow,1,954,60,1754.41,828.8555133,2583.265513,47.4
"New York, NY","Houston, TX",45.9,17.8,3.83,4.88,High,8.3,Storm,Fall,5,8,9.3,Tanker,0,slow,slow,1,1630,60,3018.76,1279.282787,4298.042787,45.9
"Phoenix, AZ","Houston, TX",48.8,10.2,3.27,5.7,Low,4.8,Fog,Fall,3,8,6.6,Dry Van,0,slow,slow,1,1166,60,2123.29,668.9157895,2792.205789,48.8
"New York, NY","Miami, FL",59.2,22,4.88,6.55,Medium,6.2,Snow,Summer,3,8,2.1,Flatbed,1,normal,slow,1,1256,60,2360.02,935.7679389,3295.787939,59.2
"Los Angeles, CA","Houston, TX",49.7,11.2,3.47,4.77,Medium,7.4,Clear,Fall,4,8,1.8,Dry Van,1,normal,slow,1,1577,60,2892.22,1147.209644,4039.429644,49.7
"Dallas, TX","Chicago, IL",40.5,17,3.11,7.91,High,8.7,Clear,Fall,3,8,0.9,Refrigerated,0,normal,slow,1,925,60,1704.77,363.6852086,2068.455209,40.5
"Chicago, IL","Seattle, WA",66.6,9.8,4.14,7.26,Low,8.6,Rain,Fall,4,8,2.6,Tanker,1,slow,normal,2,1993,70,4344.74,1136.504132,5481.244132,66.6
"Miami, FL","Phoenix, AZ",43.8,22.4,3.41,7.7,High,5.3,Rain,Fall,7,8,3,Flatbed,0,fast,slow,1,2276,60,4206.05,1007.942857,5213.992857,43.8
"Miami, FL","New York, NY",55,25.5,4.57,7.72,Low,8.5,Storm,Winter,3,8,8.4,Tanker,0,slow,slow,1,1256,60,2360.02,743.5129534,3103.532953,55
"Miami, FL","Houston, TX",74.8,8.1,4.23,4.8,Medium,5.6,Clear,Spring,2,8,9.8,Dry Van,0,normal,fast,3,1112,80,3022.42,979.95,4002.37,74.8
"Denver, CO","Chicago, IL",69.8,5.2,3.07,6.39,High,6.3,Snow,Summer,2,8,2.9,Refrigerated,0,slow,normal,2,1056,70,2296.8,507.342723,2804.142723,69.8
"Miami, FL","Phoenix, AZ",68.2,5.2,3.63,4.7,Medium,7.5,Snow,Spring,5,8,2.6,Dry Van,0,slow,normal,2,2276,70,4950.3,1757.846809,6708.146809,68.2
"New York, NY","Denver, CO",62.8,8,3.35,4.99,High,9.8,Snow,Summer,4,8,0.6,Flatbed,1,slow,normal,2,1872,70,4090.32,1256.753507,5347.073507,62.8
"Atlanta, GA","Dallas, TX",45,9.7,4.78,4.03,High,8.9,Rain,Summer,3,8,5.6,Dry Van,1,normal,slow,1,828,60,1507.79,982.0942928,2489.884293,45
"New York, NY","Miami, FL",55.1,7.9,3.21,7.02,Low,5.3,Rain,Winter,3,8,9.8,Dry Van,0,slow,slow,1,1256,60,2360.02,574.3247863,2934.344786,55.1
"Chicago, IL","Houston, TX",53.2,5.6,4.45,7.32,High,4.8,Storm,Fall,3,8,9.2,Tanker,1,fast,slow,1,1083,60,1995.97,658.3811475,2654.351148,53.2
"Seattle, WA","Denver, CO",47,15.3,4.2,4.64,High,5.3,Clear,Summer,4,8,5.1,Dry Van,1,normal,slow,1,1172,60,2144.76,1060.862069,3205.622069,47
"Miami, FL","Phoenix, AZ",68.5,23.8,4.83,7.33,Medium,5.5,Fog,Spring,5,8,5,Refrigerated,1,slow,normal,2,2276,70,4950.3,1499.738063,6450.038063,68.5
"Houston, TX","Denver, CO",71.6,6.1,3.64,6.28,High,7.1,Storm,Winter,2,8,5.3,Tanker,1,slow,fast,3,1010,80,2709.83,585.4140127,3295.244013,71.6
"Chicago, IL","Atlanta, GA",47,27.7,3.53,5.12,High,6.5,Snow,Summer,2,8,5.1,Dry Van,1,fast,slow,1,677,60,1251.1,466.7597656,1717.859766,47
"Phoenix, AZ","New York, NY",67.5,22.8,3.3,5.82,Low,4.2,Storm,Spring,5,8,4.4,Dry Van,1,slow,normal,2,2461,70,5377.29,1395.412371,6772.702371,67.5
"Denver, CO","Dallas, TX",63.9,23.1,4.79,7.04,High,4.3,Fog,Spring,2,8,1.6,Tanker,0,normal,normal,2,762,70,1634.49,518.4630682,2152.953068,63.9
"Denver, CO","Chicago, IL",58.2,23,4.4,5.8,Medium,7.1,Rain,Spring,3,8,6.9,Flatbed,1,slow,slow,1,1056,60,1951.49,801.1034483,2752.593448,58.2
"Los Angeles, CA","New York, NY",64.8,19.6,3.4,4.2,Medium,4.7,Storm,Fall,6,8,7.6,Dry Van,0,fast,normal,2,2812,70,6186.4,2276.380952,8462.780952,64.8
"Denver, CO","Houston, TX",53.3,28.4,3.43,4.41,Medium,6.1,Clear,Summer,3,8,5.6,Tanker,0,normal,slow,1,1010,60,1839.21,785.5555556,2624.765556,53.3
"Denver, CO","Phoenix, AZ",41.4,5.9,4.66,6.37,Medium,6.1,Fog,Spring,3,8,7,Refrigerated,1,normal,slow,1,673,60,1228.23,492.3359498,1720.56595,41.4
"Houston, TX","Dallas, TX",70.6,13.4,4.24,5.14,Medium,9.5,Fog,Spring,1,8,9.5,Flatbed,1,fast,fast,3,259,80,693.08,213.6498054,906.7298054,70.6
"New York, NY","Denver, CO",62.8,23.6,3.05,7.84,Medium,6.1,Rain,Winter,4,8,8.5,Refrigerated,0,normal,normal,2,1872,70,4090.32,728.2653061,4818.585306,62.8
"New York, NY","Seattle, WA",43,7.9,4.43,4.3,High,9.5,Storm,Fall,9,8,3.4,Flatbed,1,slow,slow,1,2762,60,5140.08,2845.502326,7985.582326,43
"New York, NY","Atlanta, GA",57.7,14,4.57,7.9,High,7.5,Fog,Winter,2,8,9.6,Dry Van,0,slow,slow,1,858,60,1592.45,496.3367089,2088.786709,57.7
"New York, NY","Denver, CO",66.7,18,3.41,6.18,High,8.6,Rain,Spring,4,8,7.9,Tanker,1,fast,normal,2,1872,70,4090.32,1032.932039,5123.252039,66.7
"Atlanta, GA","Los Angeles, CA",61,13.3,3.02,4.8,High,4.7,Rain,Summer,5,8,2.6,Refrigerated,1,normal,normal,2,2223,70,4812.8,1398.6375,6211.4375,61
"Chicago, IL","Dallas, TX",73.6,14.5,3.02,5.14,High,4.7,Fog,Fall,2,8,5.9,Refrigerated,1,slow,fast,3,925,80,2514.15,543.4824903,3057.63249,73.6
"Atlanta, GA","Los Angeles, CA",52.6,26.6,3.85,7.66,High,7,Clear,Summer,6,8,9.1,Refrigerated,0,normal,slow,1,2223,60,4088.1,1117.304178,5205.404178,52.6
"Phoenix, AZ","Chicago, IL",49.4,20,3.4,4.3,High,4.1,Clear,Fall,5,8,7.2,Tanker,1,slow,slow,1,1670,60,3086.16,1320.465116,4406.625116,49.4
"Chicago, IL","Denver, CO",74.3,28.3,4.47,6.78,High,6,Storm,Winter,2,8,9.4,Flatbed,1,normal,fast,3,1056,80,2877.6,696.2123894,3573.812389,74.3
"Phoenix, AZ","Dallas, TX",73.8,8.7,4.64,5.1,Medium,6.1,Clear,Summer,2,8,5.9,Tanker,1,normal,fast,3,1017,80,2728.61,925.2705882,3653.880588,73.8
"Denver, CO","Chicago, IL",63,5.4,3.13,4.4,Low,6.5,Snow,Winter,3,8,8.9,Refrigerated,1,slow,normal,2,1056,70,2296.8,751.2,3048,63
"Denver, CO","Miami, FL",60.1,24.2,3.58,5.64,Low,7.1,Fog,Spring,5,8,0.3,Dry Van,0,slow,normal,2,1984,70,4315.2,1259.347518,5574.547518,60.1
"Miami, FL","Chicago, IL",61.9,6.8,3.38,5.35,High,4.5,Fog,Spring,3,8,9.1,Dry Van,1,normal,normal,2,1370,70,3014,865.5327103,3879.53271,61.9
"Houston, TX","Phoenix, AZ",62.9,14.6,4.35,6.35,Medium,5.3,Snow,Summer,3,8,4.9,Flatbed,0,normal,normal,2,1166,70,2501.07,798.7559055,3299.825906,62.9
"Los Angeles, CA","Seattle, WA",54.2,29.6,4.54,7.86,Low,7.1,Rain,Summer,3,8,7.6,Dry Van,1,normal,slow,1,1104,60,2034.67,637.6793893,2672.349389,54.2
"Houston, TX","Los Angeles, CA",73.7,13.1,4.6,4.84,High,7.3,Snow,Fall,3,8,9.3,Tanker,1,fast,fast,3,1577,80,4264.21,1498.801653,5763.011653,73.7
"Los Angeles, CA","New York, NY",62.1,19.8,3.24,5.3,High,7.4,Snow,Fall,6,8,8,Dry Van,0,slow,normal,2,2812,70,6186.4,1719.033962,7905.433962,62.1
"Dallas, TX","Atlanta, GA",47.5,9.7,3.91,6.99,Medium,5.7,Rain,Winter,3,8,5.4,Dry Van,1,fast,slow,1,828,60,1507.79,463.1587983,1970.948798,47.5
"Seattle, WA","New York, NY",53.7,15.5,4.94,6.78,Medium,8.3,Storm,Spring,7,8,4.3,Dry Van,0,normal,slow,1,2762,60,5140.08,2012.430678,7152.510678,53.7
"New York, NY","Seattle, WA",52.9,25.7,3.31,5.38,High,8.3,Snow,Fall,7,8,2.9,Tanker,0,normal,slow,1,2762,60,5140.08,1699.297398,6839.377398,52.9
"Seattle, WA","Phoenix, AZ",46.5,12.6,3.97,5.69,Medium,4.6,Fog,Winter,4,8,0.4,Flatbed,1,slow,slow,1,1282,60,2346.06,894.4710018,3240.531002,46.5
"Atlanta, GA","Houston, TX",42.5,16.7,3.35,4.56,Low,4.8,Rain,Summer,3,8,5.2,Flatbed,0,slow,slow,1,806,60,1467.73,592.127193,2059.857193,42.5
"Miami, FL","Phoenix, AZ",74.3,11.4,3.92,4.87,High,7,Clear,Spring,4,8,5.2,Refrigerated,1,normal,fast,3,2276,80,6202.1,1832.016427,8034.116427,74.3
"Dallas, TX","Denver, CO",48.7,24,3.24,5.48,Low,4.9,Snow,Winter,2,8,1.5,Dry Van,0,fast,slow,1,762,60,1387.6,450.5255474,1838.125547,48.7
"Dallas, TX","Phoenix, AZ",65.6,19,3.45,6.04,High,7.1,Rain,Spring,2,8,2.9,Dry Van,0,fast,normal,2,1017,70,2181.47,580.9023179,2762.372318,65.6
"Atlanta, GA","New York, NY",45.5,21,4.75,5.64,High,5,Fog,Spring,3,8,8.3,Flatbed,1,fast,slow,1,858,60,1592.45,722.606383,2315.056383,45.5
"Seattle, WA","Houston, TX",61.2,26.5,3.03,4.43,High,4.6,Rain,Winter,5,8,0.7,Refrigerated,1,slow,normal,2,2173,70,4671.95,1486.273138,6158.223138,61.2
"Dallas, TX","Atlanta, GA",56.5,12.8,4.74,4.68,Low,6.1,Storm,Fall,2,8,0.3,Tanker,0,slow,slow,1,828,60,1507.79,838.6153846,2346.405385,56.5
"Seattle, WA","Dallas, TX",68.6,28.3,4.75,5.28,High,7.5,Clear,Spring,4,8,2.6,Tanker,0,normal,normal,2,1932,70,4153.8,1738.068182,5891.868182,68.6
"Phoenix, AZ","Chicago, IL",51,26.9,3.69,6.25,Low,6.6,Clear,Spring,5,8,9.7,Tanker,1,normal,slow,1,1670,60,3086.16,985.968,4072.128,51
"New York, NY","Dallas, TX",62,15.5,3.12,5.96,Medium,8.9,Clear,Fall,4,8,0.7,Refrigerated,1,fast,normal,2,1576,70,3435.68,825.0201342,4260.700134,62
"Dallas, TX","Houston, TX",66.8,23.1,4.13,5.87,High,9.3,Snow,Fall,1,8,2.4,Refrigerated,1,normal,normal,2,259,70,554.26,182.2265758,736.4865758,66.8
"Seattle, WA","Phoenix, AZ",49,11.7,3.81,6.81,Medium,4.2,Snow,Summer,4,8,0.5,Refrigerated,1,fast,slow,1,1282,60,2346.06,717.2422907,3063.302291,49
"Houston, TX","Seattle, WA",71.3,18.1,3.27,6.26,Medium,7.8,Fog,Winter,4,8,4.1,Refrigerated,1,fast,fast,3,2173,80,5845.37,1135.097444,6980.467444,71.3
"Dallas, TX","Miami, FL",74.3,21.1,4.75,6.39,Medium,8.1,Fog,Spring,3,8,7,Refrigerated,0,fast,fast,3,1277,80,3470.89,949.256651,4420.146651,74.3
"Denver, CO","Houston, TX",60.1,19.9,3.63,5.4,Medium,8.6,Snow,Spring,3,8,8.4,Refrigerated,0,slow,normal,2,1010,70,2166.45,678.9444444,2845.394444,60.1
"Atlanta, GA","New York, NY",56.3,10.2,4.9,7.53,High,5.5,Snow,Summer,2,8,4.4,Tanker,0,normal,slow,1,858,60,1592.45,558.3266932,2150.776693,56.3
"Houston, TX","Atlanta, GA",46.1,17.8,3.85,7.56,High,6.6,Rain,Summer,3,8,8.2,Refrigerated,0,fast,slow,1,806,60,1467.73,410.462963,1878.192963,46.1
"Denver, CO","Los Angeles, CA",50.4,28.7,3.3,4.33,High,6.6,Rain,Summer,3,8,4.7,Tanker,1,slow,slow,1,954,60,1754.41,727.0669746,2481.476975,50.4
"Houston, TX","Atlanta, GA",65.5,10.2,4.9,4.24,Medium,9.4,Snow,Summer,2,8,4.2,Refrigerated,1,normal,normal,2,806,70,1728.87,931.4622642,2660.332264,65.5
"Miami, FL","New York, NY",52.5,9.8,3.41,4.75,Medium,6.9,Fog,Summer,3,8,5.7,Tanker,1,fast,slow,1,1256,60,2360.02,901.6757895,3261.695789,52.5
"Denver, CO","Dallas, TX",62.3,22.2,4.34,5.8,Low,8.1,Fog,Summer,2,8,7.8,Refrigerated,1,normal,normal,2,762,70,1634.49,570.1862069,2204.676207,62.3
"Houston, TX","Dallas, TX",66.9,5.3,3.43,4.26,Low,8.7,Rain,Summer,1,8,8.1,Dry Van,1,fast,normal,2,259,70,554.26,208.5375587,762.7975587,66.9
"Dallas, TX","Miami, FL",57.5,22.6,3.31,6.6,Medium,4.5,Snow,Spring,3,8,5,Refrigerated,1,normal,slow,1,1277,60,2353.51,640.4348485,2993.944848,57.5
"Houston, TX","Chicago, IL",68.2,20.9,4.77,6.71,Low,8.9,Rain,Summer,2,8,5.3,Tanker,1,slow,normal,2,1083,70,2350.11,769.8822653,3119.992265,68.2
"Dallas, TX","Denver, CO",40.7,22.3,4.87,6.86,High,4.2,Fog,Spring,3,8,9.6,Dry Van,1,fast,slow,1,762,60,1387.6,540.9533528,1928.553353,40.7
"Dallas, TX","Chicago, IL",69.4,26.6,3.25,7.38,High,5.9,Snow,Summer,2,8,5.4,Dry Van,1,slow,normal,2,925,70,2007.25,407.3509485,2414.600949,69.4
"Houston, TX","Chicago, IL",65.9,16,4.78,7.24,Low,8.7,Clear,Summer,3,8,0.4,Tanker,0,normal,normal,2,1083,70,2350.11,715.019337,3065.129337,65.9
"Los Angeles, CA","Houston, TX",71.4,9.8,4.97,7.23,Low,8.3,Storm,Winter,3,8,5.9,Tanker,0,fast,fast,3,1577,80,4264.21,1084.051176,5348.261176,71.4
"Miami, FL","Seattle, WA",54.8,26.1,4.39,7.09,Medium,8.8,Storm,Summer,8,8,8,Flatbed,0,fast,slow,1,3141,60,5817.13,1944.850494,7761.980494,54.8
"Chicago, IL","Miami, FL",60.4,16.1,3.04,4.16,Medium,9,Rain,Spring,3,8,5.2,Dry Van,1,normal,normal,2,1370,70,3014,1001.153846,4015.153846,60.4
"Atlanta, GA","Phoenix, AZ",46.1,11.4,4.51,7.1,Medium,6.4,Rain,Summer,5,8,0.1,Dry Van,0,normal,slow,1,1827,60,3334.28,1160.530986,4494.810986,46.1
"Los Angeles, CA","Chicago, IL",68.7,13.4,3.19,7.14,Medium,6.7,Fog,Fall,4,8,1.9,Tanker,0,fast,normal,2,2004,70,4388.76,895.3445378,5284.104538,68.7
"Seattle, WA","Dallas, TX",59.3,10.2,3.68,6.39,Medium,9.5,Clear,Fall,5,8,2.9,Flatbed,1,fast,slow,1,1932,60,3525.9,1112.638498,4638.538498,59.3
"Seattle, WA","Phoenix, AZ",67.1,25.2,4.14,4.04,High,8.6,Snow,Winter,3,8,9.3,Flatbed,0,normal,normal,2,1282,70,2762.71,1313.732673,4076.442673,67.1
"Seattle, WA","Chicago, IL",67.1,6.3,3.08,5.72,Low,4.4,Storm,Winter,4,8,5.3,Tanker,0,fast,normal,2,1993,70,4344.74,1073.153846,5417.893846,67.1
"Chicago, IL","Denver, CO",41.4,20.3,4.61,5.75,Medium,7.3,Fog,Spring,4,8,6.1,Dry Van,0,normal,slow,1,1056,60,1951.49,846.6365217,2798.126522,41.4
"Los Angeles, CA","Miami, FL",42,18.6,3.17,7.31,High,7.8,Fog,Winter,8,8,1.3,Tanker,1,normal,slow,1,2686,60,4998.65,1164.790698,6163.440698,42
"Dallas, TX","Denver, CO",57.3,20.8,3.37,4.04,Low,6.1,Rain,Summer,2,8,1.8,Tanker,0,slow,slow,1,762,60,1387.6,635.6287129,2023.228713,57.3
"Houston, TX","Atlanta, GA",51.8,16.4,3.69,6.51,High,4.3,Snow,Fall,2,8,3.6,Refrigerated,1,fast,slow,1,806,60,1467.73,456.8571429,1924.587143,51.8
"New York, NY","Los Angeles, CA",68.1,27.2,3.5,7.35,Low,6.8,Rain,Summer,6,8,9.9,Refrigerated,0,slow,normal,2,2812,70,6186.4,1339.047619,7525.447619,68.1
"Dallas, TX","Seattle, WA",74.8,9.2,3.29,6.01,Low,7.8,Rain,Summer,4,8,3.7,Flatbed,1,fast,fast,3,1932,80,5197.08,1057.617304,6254.697304,74.8
"Miami, FL","Atlanta, GA",46.8,7.9,4.48,7.08,Low,9.8,Rain,Summer,2,8,2.4,Refrigerated,1,fast,slow,1,697,60,1288.06,441.039548,1729.099548,46.8
"Houston, TX","Atlanta, GA",74.5,13.5,3.62,7.62,Medium,7.5,Clear,Spring,2,8,8.9,Tanker,0,slow,fast,3,806,80,2162.5,382.9028871,2545.402887,74.5
"Denver, CO","Dallas, TX",43,26.6,3.78,6.1,High,9.5,Rain,Fall,3,8,4.2,Flatbed,1,normal,slow,1,762,60,1387.6,472.1901639,1859.790164,43
"Phoenix, AZ","Denver, CO",59.6,14.5,3.1,6.69,Low,9.9,Fog,Winter,2,8,7.2,Flatbed,0,slow,slow,1,673,60,1228.23,311.8535127,1540.083513,59.6
"Seattle, WA","New York, NY",48.4,9.7,3.71,4.94,Low,5.5,Rain,Winter,8,8,3.9,Tanker,1,slow,slow,1,2762,60,5140.08,2074.295547,7214.375547,48.4
"Miami, FL","Denver, CO",55.6,13.7,3.9,6.99,Low,9.4,Clear,Summer,5,8,2.8,Tanker,1,slow,slow,1,1984,60,3666.43,1106.95279,4773.38279,55.6
"Seattle, WA","Chicago, IL",71.7,29,3.05,7.96,Low,5.9,Clear,Fall,4,8,1.8,Tanker,1,normal,fast,3,1993,80,5444.88,763.6494975,6208.529497,71.7
"Chicago, IL","Miami, FL",53.2,26.5,3.44,4.62,Medium,9.5,Clear,Fall,4,8,7.9,Dry Van,0,normal,slow,1,1370,60,2561.9,1020.08658,3581.98658,53.2
"Chicago, IL","Denver, CO",70.7,10.2,3.99,5.39,Low,6.4,Snow,Summer,2,8,4.5,Flatbed,0,normal,fast,3,1056,80,2877.6,781.7142857,3659.314286,70.7
"Atlanta, GA","Los Angeles, CA",74.4,6.5,3.98,7.1,Low,4.9,Rain,Spring,4,8,2.4,Refrigerated,1,fast,fast,3,2223,80,6026.55,1246.132394,7272.682394,74.4
"Dallas, TX","New York, NY",51.4,13.2,4.2,4.73,Low,5.7,Snow,Summer,4,8,3.5,Tanker,0,fast,slow,1,1576,60,2918.75,1399.408034,4318.158034,51.4
"Denver, CO","Los Angeles, CA",61,19.2,4.31,5.23,High,4.8,Rain,Spring,2,8,9.8,Dry Van,0,slow,normal,2,954,70,2065.41,786.1835564,2851.593556,61
"Los Angeles, CA","Dallas, TX",55.5,18.8,3.23,5.61,Low,6.8,Snow,Fall,4,8,7.6,Dry Van,1,normal,slow,1,1423,60,2609.78,819.3030303,3429.08303,55.5
"New York, NY","Miami, FL",52.2,9.7,3.7,6.72,Low,5.6,Snow,Winter,4,8,3.9,Tanker,0,slow,slow,1,1256,60,2360.02,691.547619,3051.567619,52.2
"Los Angeles, CA","Denver, CO",70.9,22.5,3.68,5.73,High,4.9,Fog,Spring,2,8,1.3,Refrigerated,0,slow,fast,3,954,80,2586.29,612.6910995,3198.981099,70.9
"Dallas, TX","Miami, FL",47.1,7.8,4.28,7.96,Low,9.3,Fog,Winter,4,8,4.2,Flatbed,1,slow,slow,1,1277,60,2353.51,686.6281407,3040.138141,47.1
"Phoenix, AZ","Denver, CO",44.7,26.2,4.19,7.73,Medium,9.3,Rain,Winter,2,8,8.4,Dry Van,1,fast,slow,1,673,60,1228.23,364.7956016,1593.025602,44.7
"Phoenix, AZ","Houston, TX",74.6,14.9,4.98,4.62,Medium,5.5,Storm,Summer,2,8,2.9,Flatbed,1,slow,fast,3,1166,80,3128.38,1256.857143,4385.237143,74.6
"Phoenix, AZ","Atlanta, GA",57.9,9.5,4.93,6.32,Low,7.1,Storm,Spring,4,8,7,Refrigerated,0,slow,slow,1,1827,60,3334.28,1425.175633,4759.455633,57.9
"Chicago, IL","New York, NY",71,11.3,3.76,7.11,Medium,7,Snow,Winter,2,8,6.8,Refrigerated,0,fast,fast,3,818,80,2269.13,432.5850914,2701.715091,71
"Houston, TX","Los Angeles, CA",55.5,13.1,3.11,7.33,High,4.3,Snow,Summer,4,8,3.1,Tanker,1,fast,slow,1,1577,60,2892.22,669.095498,3561.315498,55.5
"Los Angeles, CA","Miami, FL",63.3,19.4,3.63,6.05,Medium,5.5,Rain,Winter,6,8,3.1,Tanker,0,normal,normal,2,2686,70,5882.34,1611.6,7493.94,63.3
"Atlanta, GA","Los Angeles, CA",66.3,5.4,3.54,5.5,Low,9.3,Clear,Spring,5,8,7.2,Refrigerated,1,slow,normal,2,2223,70,4812.8,1430.803636,6243.603636,66.3
"Miami, FL","Dallas, TX",62.4,15.4,3.6,7.8,Medium,4.7,Fog,Summer,3,8,4.8,Refrigerated,1,fast,normal,2,1277,70,2771.09,589.3846154,3360.474615,62.4
"Phoenix, AZ","Atlanta, GA",63.7,22.1,3.43,7.94,High,9.1,Snow,Fall,4,8,3.3,Flatbed,1,normal,normal,2,1827,70,3928.05,789.2455919,4717.295592,63.7
"Seattle, WA","Miami, FL",44.8,18.5,3.29,6.21,Low,7.9,Snow,Summer,9,8,8.8,Tanker,1,normal,slow,1,3141,60,5817.13,1664.072464,7481.202464,44.8
"Chicago, IL","Miami, FL",61.9,7,4.76,4.21,Medium,7.3,Clear,Summer,3,8,1.2,Tanker,0,fast,normal,2,1370,70,3014,1548.978622,4562.978622,61.9
"Seattle, WA","Los Angeles, CA",41.5,22.1,3.61,6.24,Low,9.6,Fog,Winter,4,8,0.5,Flatbed,1,slow,slow,1,1104,60,2034.67,638.6923077,2673.362308,41.5
"Los Angeles, CA","Miami, FL",67.5,28.9,3.32,5.57,Medium,9.1,Fog,Winter,5,8,2.7,Refrigerated,1,normal,normal,2,2686,70,5882.34,1600.991023,7483.331023,67.5
"Seattle, WA","Atlanta, GA",44.3,28,3.35,6.29,High,7.5,Rain,Winter,8,8,3.5,Refrigerated,1,slow,slow,1,2505,60,4584.15,1334.141494,5918.291494,44.3
"Seattle, WA","Los Angeles, CA",53.6,11.4,3.8,7.23,High,9.8,Storm,Winter,3,8,6.2,Dry Van,0,fast,slow,1,1104,60,2034.67,580.2489627,2614.918963,53.6
"Seattle, WA","Los Angeles, CA",55.3,6.7,4.91,7.17,Low,6.4,Clear,Spring,3,8,6.1,Refrigerated,0,normal,slow,1,1104,60,2034.67,756.0167364,2790.686736,55.3
"Seattle, WA","Denver, CO",64.5,8.8,3.22,6.14,Medium,7.3,Clear,Fall,3,8,9.6,Dry Van,1,slow,normal,2,1172,70,2525.66,614.6319218,3140.291922,64.5
"Seattle, WA","Denver, CO",45.3,12.8,4.6,6.09,Medium,5.1,Snow,Spring,4,8,4.3,Dry Van,0,normal,slow,1,1172,60,2144.76,885.2545156,3030.014516,45.3
"Chicago, IL","Houston, TX",63,28.1,3.5,7.42,High,9.5,Snow,Spring,3,8,1.1,Flatbed,0,fast,normal,2,1083,70,2350.11,510.8490566,2860.959057,63
"Denver, CO","Los Angeles, CA",48.5,10,4.05,6.15,Medium,6.6,Rain,Spring,3,8,5.2,Tanker,0,slow,slow,1,954,60,1754.41,628.2439024,2382.653902,48.5
"Denver, CO","New York, NY",65.3,5.6,4.14,7.54,Low,4.1,Rain,Summer,4,8,9.3,Flatbed,0,fast,normal,2,1872,70,4090.32,1027.862069,5118.182069,65.3
"Houston, TX","Los Angeles, CA",56.1,29.5,3.4,4.26,Low,9.2,Storm,Spring,4,8,4.1,Refrigerated,1,normal,slow,1,1577,60,2892.22,1258.638498,4150.858498,56.1
"Los Angeles, CA","Houston, TX",74.2,25.7,4.32,6.94,Low,9.6,Clear,Summer,3,8,9.6,Flatbed,1,normal,fast,3,1577,80,4264.21,981.648415,5245.858415,74.2
"Atlanta, GA","Phoenix, AZ",60.3,16.1,4.55,6.96,Low,7.2,Storm,Fall,4,8,4.6,Refrigerated,0,normal,normal,2,1827,70,3928.05,1194.375,5122.425,60.3
"Miami, FL","Houston, TX",62,21.8,3.42,7.35,Medium,5.7,Snow,Winter,3,8,4.1,Tanker,1,slow,normal,2,1112,70,2413.04,517.4204082,2930.460408,62
"New York, NY","Los Angeles, CA",73.8,25.2,4.88,4.56,High,4.4,Fog,Summer,5,8,6.2,Refrigerated,0,fast,fast,3,2812,80,7761.12,3009.333333,10770.45333,73.8
"Chicago, IL","Miami, FL",52,21.9,3.2,4.51,High,4.4,Fog,Fall,4,8,4.4,Tanker,0,slow,slow,1,1370,60,2561.9,972.0620843,3533.962084,52
"Chicago, IL","Houston, TX",52.7,5.4,4.04,5.34,High,4,Snow,Summer,3,8,8.2,Dry Van,1,fast,slow,1,1083,60,1995.97,819.3483146,2815.318315,52.7
"Houston, TX","Miami, FL",56.9,17.1,4.78,5.19,Low,9.6,Clear,Fall,3,8,6.7,Refrigerated,1,slow,slow,1,1112,60,2049.42,1024.154143,3073.574143,56.9
"Atlanta, GA","Denver, CO",54.4,22.7,4.03,7.72,Medium,8.4,Clear,Fall,4,8,8.9,Tanker,1,fast,slow,1,1392,60,2540.4,726.6528497,3267.05285,54.4
"Dallas, TX","Chicago, IL",62.7,11.2,3.79,6.73,High,9.4,Clear,Winter,2,8,5.9,Flatbed,0,fast,normal,2,925,70,2007.25,520.9138187,2528.163819,62.7
"Miami, FL","Denver, CO",69.2,23.2,4.5,4.78,High,6.8,Clear,Summer,4,8,5,Tanker,1,normal,normal,2,1984,70,4315.2,1867.782427,6182.982427,69.2
"New York, NY","Seattle, WA",60.6,26.1,3.57,6.3,Medium,4.7,Fog,Winter,6,8,0.4,Refrigerated,0,slow,normal,2,2762,70,6048.78,1565.133333,7613.913333,60.6
"Dallas, TX","Miami, FL",54.5,8.1,3.84,4.78,Medium,6.5,Fog,Winter,3,8,7.4,Tanker,1,slow,slow,1,1277,60,2353.51,1025.874477,3379.384477,54.5
"Miami, FL","New York, NY",61.2,5.6,4.86,6.74,Low,4.2,Snow,Fall,3,8,2,Flatbed,1,normal,normal,2,1256,70,2775.76,905.6617211,3681.421721,61.2
